,0
0,http://www.w3.org/TR/xhtml1/XHD/xhtml1-transitional.dtd
1,http://www.w3.org/1999/xhtml
2,http://www.cntour.cn
3,http://cntour.cn
4,http://www.cntour.cn/usercenter/reg.aspx
5,http://www.cntour.cn/usercenter/default.aspx
6,http://www.cntour.cn/usercenter/login.aspx?act=out
7,http://www.cntour.cn/usercenter/travels/travels.aspx
8,"http://www.cntour.cn/','中国旅游网');"
9,http://www.cntour.cn/')
10,http://gift.cntour.cn/
11,http://www.cntour.cn/
12,http://bj.cntour.cn/
13,http://tj.cntour.cn/
14,http://he.cntour.cn/
15,http://sx.cntour.cn/
16,http://nmg.cntour.cn/
17,http://sh.cntour.cn/
18,http://zj.cntour.cn/
19,http://fj.cntour.cn/
20,http://js.cntour.cn/
21,http://sd.cntour.cn/
22,http://ah.cntour.cn/
23,http://gd.cntour.cn/
24,http://gx.cntour.cn/
25,http://hi.cntour.cn/
26,http://hk.cntour.cn/
27,http://mc.cntour.cn/
28,http://tw.cntour.cn/
29,http://ha.cntour.cn/
30,http://hb.cntour.cn/
31,http://jx.cntour.cn/
32,http://hn.cntour.cn/
33,http://ln.cntour.cn/
34,http://jl.cntour.cn/
35,http://hlj.cntour.cn/
36,http://gs.cntour.cn/
37,http://sn.cntour.cn/
38,http://qh.cntour.cn/
39,http://nx.cntour.cn/
40,http://xj.cntour.cn/
41,http://cq.cntour.cn/
42,http://sc.cntour.cn/
43,http://yn.cntour.cn/
44,http://gz.cntour.cn/
45,http://xz.cntour.cn/
46,http://us.cntour.cn/
47,http://de.cntour.cn/
48,http://fr.cntour.cn/
49,http://uk.cntour.cn/
50,http://kr.cntour.cn/
51,http://jp.cntour.cn/
52,http://www.cntour.cn/news/list.aspx
53,http://mudidi.cntour.cn/cid00/
54,http://www.cntour.cn/news/list.aspx
55,http://mudidi.cntour.cn/cid00/
56,http://trip.cntour.cn/line/list.aspx
57,http://piao.cntour.cn/list-0-0-0.html
58,http://travel.cntour.cn/
59,http://www.cntour.cn/mall/list.aspx
60,http://www.cntour.cn/
61,http://www.cntour.cn/line/default.aspx
62,http://www.cntour.cn/domestic/237/
63,http://www.cntour.cn/abroad/237/
64,http://www.cntour.cn/around/237/
65,http://www.cntour.cn/package/237/
66,http://www.cntour.cn/Special.aspx?cid=237
67,http://www.cntour.cn/team/237/
68,http://hotel.cntour.cn/flight/default.aspx
69,http://hotel.cntour.cn/
70,http://tuan.cntour.cn/
71,http://piao.cntour.cn/
72,http://www.cntour.cn/food/list-10.html
73,http://mudidi.cntour.cn/
74,http://travel.cntour.cn/
75,http://www.cntour.cn/mall/default.aspx
76,http://www.cntour.cn/Special/
77,http://www.cntour.cn/meeting/list.aspx?mid=5
78,http://www.cntour.cn/photo/list.aspx?mid=4
79,http://www.cntour.cn/agricola/list.aspx?mid=12
80,http://www.cntour.cn/golf/list.aspx?mid=15
81,http://visa.cntour.cn/
82,http://car.cntour.cn/
83,http://daoyou.cntour.cn/
84,http://www.cntour.cn/news/13838/
85,http://www.cntour.cn/line/default.aspx
86,http://www.cntour.cn/around/237/
87,http://www.jhly.cn/zt/2018/dibai/
88,http://www.cntour.cn/news/list.aspx?tid=50
89,http://www.cntour.cn/news/list.aspx?tid=52
90,http://www.cntour.cn/news/list.aspx?tid=51
91,http://www.cntour.cn/news/list.aspx?tid=10
92,http://www.cntour.cn/news/list.aspx?tid=9
93,http://www.cntour.cn/news/list.aspx?tid=54
94,http://www.cntour.cn/news/list.aspx?tid=24
95,http://www.cntour.cn/news/list.aspx?tid=7
96,http://www.cntour.cn/news/list.aspx?tid=29
97,http://www.cntour.cn/news/list.aspx?tid=15
98,http://www.cntour.cn/news/list.aspx?tid=16
99,http://www.cntour.cn/news/list.aspx?tid=25
100,http://www.cntour.cn/video/list.aspx?tid=23
101,http://www.cntour.cn/news/list.aspx?tid=71
102,http://www.cntour.cn/news/list.aspx?tid=6
103,http://www.cntour.cn/news/list.aspx?tid=4
104,http://www.cntour.cn/news/list.aspx?tid=53
105,http://www.cntour.cn/news/list.aspx?tid=75
106,http://www.cntour.cn/news/list.aspx?tid=55
107,http://www.cntour.cn/news/list.aspx?tid=20
108,http://www.cntour.cn/news/list.aspx?tid=21
109,http://www.cntour.cn/news/list.aspx?tid=30
110,http://www.cntour.cn/news/list.aspx?tid=17
111,http://www.cntour.cn/news/list.aspx?tid=31
112,http://www.cntour.cn/news/list.aspx?tid=14
113,http://www.cntour.cn/travelpic/list.aspx?tid=56
114,http://www.cntour.cn/news/14956/
115,http://www.cntour.cn/news/10693/
116,http://www.cntour.cn/news/9681/
117,http://www.cntour.cn/news/8681/
118,http://www.cntour.cn/news/8679/
119,http://www.cntour.cn/news/8678/
120,http://www.cntour.cn/news/8677/
121,http://www.cntour.cn/news/8676/
122,http://www.cntour.cn/news/4847/
123,http://www.cntour.cn/news/list.aspx?tid=50
124,http://www.cntour.cn/news/20087/
125,http://www.cntour.cn/news/20087/
126,http://www.cntour.cn/news/21095/
127,http://www.cntour.cn/news/21094/
128,http://www.cntour.cn/news/20090/
129,http://www.cntour.cn/news/20089/
130,http://www.cntour.cn/news/20087/
131,http://www.cntour.cn/news/19079/
132,http://www.cntour.cn/news/19078/
133,http://www.cntour.cn/news/19068/
134,http://www.cntour.cn/news/19063/
135,http://www.cntour.cn/news/19058/
136,http://www.cntour.cn/news/18056/
137,http://www.cntour.cn/news/20092/
138,http://www.cntour.cn/news/20092/
139,http://www.cntour.cn/news/21099/
140,http://www.cntour.cn/news/21097/
141,http://www.cntour.cn/news/21096/
142,http://www.cntour.cn/news/21093/
143,http://www.cntour.cn/news/20093/
144,http://www.cntour.cn/news/20091/
145,http://www.cntour.cn/news/20088/
146,http://www.cntour.cn/news/20085/
147,http://www.cntour.cn/news/20084/
148,http://www.cntour.cn/news/20082/
149,http://www.cntour.cn/news/19083/
150,http://www.cntour.cn/news/21098/
151,http://www.cntour.cn/news/20081/
152,http://www.cntour.cn/news/19074/
153,http://www.cntour.cn/news/19069/
154,http://www.cntour.cn/news/14988/
155,http://www.cntour.cn/news/14987/
156,http://www.cntour.cn/news/14977/
